Date(s),Company,Positions/Jobs,Time,Location,Notes/Contact
31 Jul 2025,Ultimate HR Solutions,Tele Sales Agent (Female),10:00 AM – 3:00 PM,"Hilal Bin Taraf Bldg., next to Business Bay Metro, Sheikh Zayed Rd, Dubai",Arabic speaker; call +971 4 343 3737
31 Jul 2025,EFS Facilities Management,"Various FM roles (cleaners, technicians)",9:00 AM – 1:00 PM,"EFS, Dubai Production City","Bring CV, passport copy"
31 Jul 2025,NCC Holding,Light duty driver,9:30 AM – 1:00 PM,"Kizad A8, Abu Dhabi",Bring CV & UAE license
31 Jul 2025,TU Holdings Group,Facilities & hospitality jobs,9:00 AM – 12:00 PM & 2:00 PM – 4:00 PM,"AK Tower, Airport Rd, Abu Dhabi",Multiple roles
31 Jul 2025,Al Bonian FM,FM & technical jobs,2:00 PM – 4:00 PM,"Al Bonian Building, Al Quoz 3, Dubai","Bring CV, certificates"
31 Jul 2025,NMC Healthcare,"Nurses, pharmacists, admins",10:00 AM – 2:00 PM,"NMC Royal Hospital, Khalifa City, Abu Dhabi",Bring CV & credentials
28 Jul – 2 Aug 2025 (M–F),Facilico FM,"Office boys, male cleaners",9:00 AM – 3:00 PM,"The Curve Bldg., Al Quoz 3, Dubai",Visit visa priority
28 Jul – 2 Aug 2025,Property Solvers Real Estate,Property consultants,9:00 AM – 6:00 PM,"303 Oxford Tower, Business Bay, Dubai",Real estate sales
28 Jul – 10 Aug 2025,Chariot Homes Real Estate,Property consultants,10:00 AM – 5:00 PM,"Empire Heights A, Business Bay, Dubai",Commission based
28 Jul & 2 Aug 2025,Namaste Properties LLC,Female property consultants,10:00 AM – 5:00 PM,"Al Masood Office Tower, Deira, Dubai",Bring CV & passport copy
28 Jul – 2 Aug 2025,AWS Distribution,E?commerce & digital marketing execs,11:00 AM – 1:00 PM,"Bin Shabib Mall, Al Qusais 1, Dubai",Bring CV
