Title,Company,Location,Salary Range,Experience,Job Type,Job Description
Administrative Assistant,Middle East Enterprises,"Doha, Qatar",5000-7000 QAR/month,2 years,Permanent,"Administrative Assistant at Middle East Enterprises based in Doha, Qatar is a role responsible for supporting the organization's operations in its respective domain. The administrative assistant will work closely with relevant teams to ensure smooth day-to-day activities, leveraging prior experience of 2 years and adapting to the company's permanent work environment.

**Responsibilities:**
- Manage administrative tasks and documentation.
- Coordinate communication between departments and external stakeholders.
- Maintain records and update databases regularly.
- Assist in scheduling and logistical arrangements.
**Requirements:**
- High school diploma or equivalent; diploma in relevant field preferred.
- Good organizational and communication skills.
- Proficiency with Microsoft Office or similar tools.
- Attention to detail and ability to multitask.

**Employment Benefits:**
Typical benefits include a competitive salary package, health coverage, annual leave, and opportunities for professional development. Additional perks may depend on company policy. **How to Apply:**
Interested candidates should submit their CV along with a brief cover note via the company's preferred application channel (e.g., email or online portal). Include the job title in the subject line and ensure all contact details are up to date."
Junior Accountant,Emirates Trading,"Jeddah, Saudi Arabia",4000-6000 SAR/month,Fresh graduate,Temporary,"Junior Accountant at Emirates Trading based in Jeddah, Saudi Arabia is a role responsible for supporting the organization's operations in its respective domain. The junior accountant will work closely with relevant teams to ensure smooth day-to-day activities, leveraging prior experience of Fresh graduate and adapting to the company's temporary work environment.

**Responsibilities:**
- Prepare and process financial records, invoices, and payroll.
- Reconcile accounts and assist in monthly closing.
- Ensure compliance with applicable financial regulations.
- Support audit preparations and respond to queries.
**Requirements:**
- Bachelor’s degree in accounting, finance, or related field.
- Familiarity with accounting software and Excel.
- Basic understanding of bookkeeping and payroll processes.
- Analytical mindset and numerical accuracy.

**Employment Benefits:**
Typical benefits include a competitive salary package, health coverage, annual leave, and opportunities for professional development. Additional perks may depend on company policy. **How to Apply:**
Interested candidates should submit their CV along with a brief cover note via the company's preferred application channel (e.g., email or online portal). Include the job title in the subject line and ensure all contact details are up to date."
Customer Service Representative,Desert Logistics,"Dubai, UAE",4000-6000 AED/month,1 year,Contract,"Customer Service Representative at Desert Logistics based in Dubai, UAE is a role responsible for supporting the organization's operations in its respective domain. The customer service representative will work closely with relevant teams to ensure smooth day-to-day activities, leveraging prior experience of 1 year and adapting to the company's contract work environment.

**Responsibilities:**
- Handle customer inquiries via phone, email, or in person.
- Provide accurate information and resolve basic issues.
- Log interactions and follow up on pending concerns.
- Maintain a professional and welcoming demeanor.
**Requirements:**
- Strong communication and interpersonal skills.
- Customer-service orientation and patience.
- Ability to manage high-volume inquiries.
- Basic computer literacy.

**Employment Benefits:**
Typical benefits include a competitive salary package, health coverage, annual leave, and opportunities for professional development. Additional perks may depend on company policy. **How to Apply:**
Interested candidates should submit their CV along with a brief cover note via the company's preferred application channel (e.g., email or online portal). Include the job title in the subject line and ensure all contact details are up to date."
Sales Associate,Gulf Industries,"Jeddah, Saudi Arabia",4000-6000 SAR/month,2 years,Temporary,"Sales Associate at Gulf Industries based in Jeddah, Saudi Arabia is a role responsible for supporting the organization's operations in its respective domain. The sales associate will work closely with relevant teams to ensure smooth day-to-day activities, leveraging prior experience of 2 years and adapting to the company's temporary work environment.

**Responsibilities:**
- Reach out to potential clients to promote products or services.
- Meet or exceed sales targets and KPIs.
- Maintain and update customer relationship records.
- Follow up on leads and close deals.
**Requirements:**
- Proven experience in sales or telemarketing preferred.
- Persuasive communication and negotiation skills.
- Target-driven attitude.
- Comfortable with cold calling and CRM tools.

**Employment Benefits:**
Typical benefits include a competitive salary package, health coverage, annual leave, and opportunities for professional development. Additional perks may depend on company policy. **How to Apply:**
Interested candidates should submit their CV along with a brief cover note via the company's preferred application channel (e.g., email or online portal). Include the job title in the subject line and ensure all contact details are up to date."
Graphic Designer,Oasis Services,"Kuwait City, Kuwait",300-500 KWD/month,1 year,Contract,"Graphic Designer at Oasis Services based in Kuwait City, Kuwait is a role responsible for supporting the organization's operations in its respective domain. The graphic designer will work closely with relevant teams to ensure smooth day-to-day activities, leveraging prior experience of 1 year and adapting to the company's contract work environment.

**Responsibilities:**
- Perform assigned duties as per department needs and support team objectives.
**Requirements:**
- Relevant educational background or equivalent experience; eagerness to learn and adapt.

**Employment Benefits:**
Typical benefits include a competitive salary package, health coverage, annual leave, and opportunities for professional development. Additional perks may depend on company policy. **How to Apply:**
Interested candidates should submit their CV along with a brief cover note via the company's preferred application channel (e.g., email or online portal). Include the job title in the subject line and ensure all contact details are up to date."
HR Assistant,Desert Ventures,"Kuwait City, Kuwait",300-500 KWD/month,2 years,Contract,"HR Assistant at Desert Ventures based in Kuwait City, Kuwait is a role responsible for supporting the organization's operations in its respective domain. The hr assistant will work closely with relevant teams to ensure smooth day-to-day activities, leveraging prior experience of 2 years and adapting to the company's contract work environment.

**Responsibilities:**
- Manage administrative tasks and documentation.
- Coordinate communication between departments and external stakeholders.
- Maintain records and update databases regularly.
- Assist in scheduling and logistical arrangements.
**Requirements:**
- High school diploma or equivalent; diploma in relevant field preferred.
- Good organizational and communication skills.
- Proficiency with Microsoft Office or similar tools.
- Attention to detail and ability to multitask.

**Employment Benefits:**
Typical benefits include a competitive salary package, health coverage, annual leave, and opportunities for professional development. Additional perks may depend on company policy. **How to Apply:**
Interested candidates should submit their CV along with a brief cover note via the company's preferred application channel (e.g., email or online portal). Include the job title in the subject line and ensure all contact details are up to date."
Warehouse Associate,Arabian Solutions,"Manama, Bahrain",300-500 BHD/month,2 years,Contract,"Warehouse Associate at Arabian Solutions based in Manama, Bahrain is a role responsible for supporting the organization's operations in its respective domain. The warehouse associate will work closely with relevant teams to ensure smooth day-to-day activities, leveraging prior experience of 2 years and adapting to the company's contract work environment.

**Responsibilities:**
- Perform assigned duties as per department needs and support team objectives.
**Requirements:**
- Relevant educational background or equivalent experience; eagerness to learn and adapt.

**Employment Benefits:**
Typical benefits include a competitive salary package, health coverage, annual leave, and opportunities for professional development. Additional perks may depend on company policy. **How to Apply:**
Interested candidates should submit their CV along with a brief cover note via the company's preferred application channel (e.g., email or online portal). Include the job title in the subject line and ensure all contact details are up to date."
Social Media Coordinator,Arabian Logistics,"Muscat, Oman",400-600 OMR/month,2 years,Freelance,"Social Media Coordinator at Arabian Logistics based in Muscat, Oman is a role responsible for supporting the organization's operations in its respective domain. The social media coordinator will work closely with relevant teams to ensure smooth day-to-day activities, leveraging prior experience of 2 years and adapting to the company's freelance work environment.

**Responsibilities:**
- Manage administrative tasks and documentation.
- Coordinate communication between departments and external stakeholders.
- Maintain records and update databases regularly.
- Assist in scheduling and logistical arrangements.
**Requirements:**
- High school diploma or equivalent; diploma in relevant field preferred.
- Good organizational and communication skills.
- Proficiency with Microsoft Office or similar tools.
- Attention to detail and ability to multitask.

**Employment Benefits:**
Typical benefits include a competitive salary package, health coverage, annual leave, and opportunities for professional development. Additional perks may depend on company policy. **How to Apply:**
Interested candidates should submit their CV along with a brief cover note via the company's preferred application channel (e.g., email or online portal). Include the job title in the subject line and ensure all contact details are up to date."
IT Support Technician,Pearl Trading,"Jeddah, Saudi Arabia",4000-6000 SAR/month,1 year,Full-Time,"IT Support Technician at Pearl Trading based in Jeddah, Saudi Arabia is a role responsible for supporting the organization's operations in its respective domain. The it support technician will work closely with relevant teams to ensure smooth day-to-day activities, leveraging prior experience of 1 year and adapting to the company's full-time work environment.

**Responsibilities:**
- Handle customer inquiries via phone, email, or in person.
- Provide accurate information and resolve basic issues.
- Log interactions and follow up on pending concerns.
- Maintain a professional and welcoming demeanor.
**Requirements:**
- Strong communication and interpersonal skills.
- Customer-service orientation and patience.
- Ability to manage high-volume inquiries.
- Basic computer literacy.

**Employment Benefits:**
Typical benefits include a competitive salary package, health coverage, annual leave, and opportunities for professional development. Additional perks may depend on company policy. **How to Apply:**
Interested candidates should submit their CV along with a brief cover note via the company's preferred application channel (e.g., email or online portal). Include the job title in the subject line and ensure all contact details are up to date."
Receptionist,Al Ventures,"Riyadh, Saudi Arabia",4000-6000 SAR/month,1 year,Contract,"Receptionist at Al Ventures based in Riyadh, Saudi Arabia is a role responsible for supporting the organization's operations in its respective domain. The receptionist will work closely with relevant teams to ensure smooth day-to-day activities, leveraging prior experience of 1 year and adapting to the company's contract work environment.

**Responsibilities:**
- Perform assigned duties as per department needs and support team objectives.
**Requirements:**
- Relevant educational background or equivalent experience; eagerness to learn and adapt.

**Employment Benefits:**
Typical benefits include a competitive salary package, health coverage, annual leave, and opportunities for professional development. Additional perks may depend on company policy. **How to Apply:**
Interested candidates should submit their CV along with a brief cover note via the company's preferred application channel (e.g., email or online portal). Include the job title in the subject line and ensure all contact details are up to date."
Marketing Assistant,Sahara Logistics,"Dubai, UAE",4000-6000 AED/month,2 years,Temporary,"Marketing Assistant at Sahara Logistics based in Dubai, UAE is a role responsible for supporting the organization's operations in its respective domain. The marketing assistant will work closely with relevant teams to ensure smooth day-to-day activities, leveraging prior experience of 2 years and adapting to the company's temporary work environment.

**Responsibilities:**
- Manage administrative tasks and documentation.
- Coordinate communication between departments and external stakeholders.
- Maintain records and update databases regularly.
- Assist in scheduling and logistical arrangements.
**Requirements:**
- High school diploma or equivalent; diploma in relevant field preferred.
- Good organizational and communication skills.
- Proficiency with Microsoft Office or similar tools.
- Attention to detail and ability to multitask.

**Employment Benefits:**
Typical benefits include a competitive salary package, health coverage, annual leave, and opportunities for professional development. Additional perks may depend on company policy. **How to Apply:**
Interested candidates should submit their CV along with a brief cover note via the company's preferred application channel (e.g., email or online portal). Include the job title in the subject line and ensure all contact details are up to date."
Data Entry Clerk,Middle East Group,"Manama, Bahrain",300-500 BHD/month,Fresh graduate,Contract,"Data Entry Clerk at Middle East Group based in Manama, Bahrain is a role responsible for supporting the organization's operations in its respective domain. The data entry clerk will work closely with relevant teams to ensure smooth day-to-day activities, leveraging prior experience of Fresh graduate and adapting to the company's contract work environment.

**Responsibilities:**
- Manage administrative tasks and documentation.
- Coordinate communication between departments and external stakeholders.
- Maintain records and update databases regularly.
- Assist in scheduling and logistical arrangements.
**Requirements:**
- High school diploma or equivalent; diploma in relevant field preferred.
- Good organizational and communication skills.
- Proficiency with Microsoft Office or similar tools.
- Attention to detail and ability to multitask.

**Employment Benefits:**
Typical benefits include a competitive salary package, health coverage, annual leave, and opportunities for professional development. Additional perks may depend on company policy. **How to Apply:**
Interested candidates should submit their CV along with a brief cover note via the company's preferred application channel (e.g., email or online portal). Include the job title in the subject line and ensure all contact details are up to date."
Content Writer,Oasis Logistics,"Manama, Bahrain",300-500 BHD/month,2 years,Contract,"Content Writer at Oasis Logistics based in Manama, Bahrain is a role responsible for supporting the organization's operations in its respective domain. The content writer will work closely with relevant teams to ensure smooth day-to-day activities, leveraging prior experience of 2 years and adapting to the company's contract work environment.

**Responsibilities:**
- Perform assigned duties as per department needs and support team objectives.
**Requirements:**
- Relevant educational background or equivalent experience; eagerness to learn and adapt.

**Employment Benefits:**
Typical benefits include a competitive salary package, health coverage, annual leave, and opportunities for professional development. Additional perks may depend on company policy. **How to Apply:**
Interested candidates should submit their CV along with a brief cover note via the company's preferred application channel (e.g., email or online portal). Include the job title in the subject line and ensure all contact details are up to date."
Logistics Coordinator,Emirates Solutions,"Dubai, UAE",4000-6000 AED/month,1 year,Freelance,"Logistics Coordinator at Emirates Solutions based in Dubai, UAE is a role responsible for supporting the organization's operations in its respective domain. The logistics coordinator will work closely with relevant teams to ensure smooth day-to-day activities, leveraging prior experience of 1 year and adapting to the company's freelance work environment.

**Responsibilities:**
- Manage administrative tasks and documentation.
- Coordinate communication between departments and external stakeholders.
- Maintain records and update databases regularly.
- Assist in scheduling and logistical arrangements.
**Requirements:**
- High school diploma or equivalent; diploma in relevant field preferred.
- Good organizational and communication skills.
- Proficiency with Microsoft Office or similar tools.
- Attention to detail and ability to multitask.

**Employment Benefits:**
Typical benefits include a competitive salary package, health coverage, annual leave, and opportunities for professional development. Additional perks may depend on company policy. **How to Apply:**
Interested candidates should submit their CV along with a brief cover note via the company's preferred application channel (e.g., email or online portal). Include the job title in the subject line and ensure all contact details are up to date."
